time,seconds_elapsed,z,y,x
1761369607734220000,2.551219970703125,-0.18691925704479218,-0.5783960223197937,-0.2414373755455017
1761369607752830200,2.569830322265625,-0.20096874237060547,-0.611992597579956,-0.284196674823761
1761369607771442000,2.58844189453125,-0.21501824259757996,-0.644367516040802,-0.29885703325271606
1761369607790052400,2.60705224609375,-0.23334364593029022,-0.7329403758049011,-0.32756683230400085
1761369607808663800,2.625663818359375,-0.2907632887363434,-0.746379017829895,-0.40819868445396423
1761369607827274000,2.64427392578125,-0.34757208824157715,-0.7195017337799072,-0.4821111857891083
1761369607845886000,2.662885986328125,-0.395218163728714,-0.7054522037506104,-0.4937172830104828
1761369607864496000,2.68149609375,-0.4196520745754242,-0.6016082167625427,-0.42224815487861633
1761369607883107800,2.70010791015625,-0.42331716418266296,-0.49715331196784973,-0.2548760175704956
1761369607901718000,2.718718017578125,-0.420873761177063,-0.40125030279159546,0.017027366906404495
1761369607920329700,2.737329833984375,-0.3506263196468353,-0.36398860812187195,0.32245099544525146
1761369607938940000,2.75593994140625,-0.26816195249557495,-0.51914381980896,0.5350258350372314
1761369607957551600,2.774551513671875,-0.2651077210903168,-0.6730773448944092,0.6364265084266663
1761369607976161800,2.793161865234375,-0.33413344621658325,-0.8233457207679749,0.6871268153190613
1761369607994773500,2.8117734375,-0.4312581717967987,-0.9485694169998169,0.6651363372802734
1761369608013383700,2.8303837890625,-0.517998456954956,-0.9247463941574097,0.6290963292121887
1761369608031995400,2.848995361328125,-0.5864133834838867,-0.754930853843689,0.5924454927444458
1761369608050605600,2.86760546875,-0.5913001298904419,-0.45622655749320984,0.542356014251709
1761369608069217300,2.88621728515625,-0.5986303091049194,-0.10437852889299393,0.4488963782787323
1761369608087827500,2.904827392578125,-0.629172682762146,0.06482616811990738,0.30046048760414124
1761369608106439200,2.923439208984375,-0.5809157490730286,0.08131904155015945,0.12697987258434296
1761369608125049300,2.94204931640625,-0.4569137394428253,0.044668205082416534,-0.03924693539738655
1761369608143661000,2.9606611328125,-0.29626092314720154,0.06482616811990738,-0.17118994891643524
1761369608162271200,2.979271240234375,-0.13621893525123596,0.1821088343858719,-0.31473904848098755
1761369608180883000,2.997883056640625,-0.0006108472589403391,0.3360423445701599,-0.4540122151374817
1761369608199493400,3.016493408203125,0.06169557198882103,0.3910185992717743,-0.5700731873512268
1761369608218105000,3.03510498046875,0.10323318839073181,0.42400434613227844,-0.6574243903160095
